Year,Area,Economic activity,Size of establishment,Division of industry,Number of establishments using Internet,Sending or receiving  e-mail  ,Getting information about goods  or services ,Getting information from government organizations ,Interacting with  government organization ,Purchase/ sale goods and services or trading  partner,Delivering products  online  in digitized  form  ,Internet banking or accessing other financial services , Training via e-learning  system ,VoIP / video conferencing,Use of instant messaging/ bulletin boards  ,Internal or  external recruitment  
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,45) Wholesale and retail trade and repair of motor vehicles and motorcycles,69391.3672,43157.5458,59196.4846,29753.0463,26186.1438,29352.8035,2147.7542,27739.9415,4045.9377,6178.09773536,29561.46720173,6198.79895502
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,"46) Wholesale trade, except of motor vehicles and motorcycles",42456.1023,28723.6223,30663.0753,19475.632,19469.4196,15664.1036,2696.367,15696.4258,1302.5762,5767.98821273,20567.03667007,6256.54139502
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,"47) Retail trade, except of motor vehicles and motorcycles",281770.3089,173265.5392,197993.1724,107408.3364,92982.7738,139718.6478,15355.8672,106930.4843,22962.9526,46955.27010385,137109.51925067,26780.89066245
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,55) Accommodation,9912.3904,7775.2102,7774.2038,4359.6611,3659.4459,4590.444,505.6653,3541.9865,241.4554,1240.57552208,4429.07333416,580.31068723
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,56) Food and beverage service activities,119808.3346,50318.7841,59261.2672,23183.1377,9973.6387,53260.3087,4404.2717,43213.8415,7202.5204,20391.69591514,68544.00978002,12839.44418054
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,68) Real estate activities,60162.7757,43363.5885,45999.1867,36006.9392,29229.7353,13621.5682,3948.0413,17772.1309,3385.7797,6731.17543155,21981.16529256,5832.87475359
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,69) Legal and accounting activities,6378.1692,5386.9029,4632.1538,5026.5428,3931.9035,990.5958,205.828,2236.8809,540.8667,1118.08712194,2653.21616902,750.45007314
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,70) Activities of head offices; management consultancy activities,587.2936,579.4047,531.0259,332.8122,453.9233,326.6644,7.1011,192.7413,67.0889,200.20202022,344.13752917,105.35101011
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,71) Architectural and engineering activities; technical testing and analysis,1700.8525,1287.0985,1151.1204,1215.5079,1164.1175,365.8377,57.4242,654.9445,62.9725,211.36696859,660.79960869,111.65497492
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,72) Scientific research and development,18.3333,18.3333,13.5239,9.619,3.1428,4.1429,0.0,3.2381,3.1429,1.57142857,7.80952381,4.71428571
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,73) Advertising and market research,4440.709,3654.9136,3819.811,1932.8631,1936.3766,1798.9564,883.8761,1623.559,228.4977,664.8268879,1841.62813107,418.96852816
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,"74) Other professional, scientific and technical activities",5226.0339,3725.67,4303.9611,2469.8506,2149.7845,1650.1377,503.0142,1914.9682,149.96,527.85439394,2225.22287873,267.19757576
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,77) Rental and leasing activities,5422.1097,2703.1253,3833.4677,1815.3734,1258.734,2219.3653,354.7469,1920.7568,195.3238,640.45468139,2984.24619984,187.60300207
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,78) Employment activities,610.2544,504.1032,450.3682,456.0022,414.1454,168.492,25.7549,186.7931,40.404,114.27056946,228.65381366,293.60859362
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,"79) Travel agency, tour operator, reservation service and related activities",5005.7602,4178.2329,4102.7771,3017.6319,2426.8227,2814.2194,710.6538,2024.0315,222.6666,869.77275861,2432.26143409,589.65026035
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,80) Security and investigation activities,576.4751,458.4898,449.2119,359.5255,299.8099,186.4257,43.1435,192.472,38.0185,99.86434841,266.53884721,97.47149126
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,81) Services to buildings and landscape activities,457.8619,364.4861,334.2204,211.6917,230.7177,142.1766,11.0777,113.6307,16.9527,33.35614478,199.05530303,91.53821549
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,"82) Office administrative, office support and other business support activities",8833.5884,7295.2501,7211.334,4335.1419,3251.7492,3011.8577,817.5173,2920.8393,299.0628,1209.82924723,3464.57729331,480.54751132
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,"90) Creative, arts and entertainment activities",1212.5997,255.5397,614.802,249.2323,64.674,244.3583,83.9286,86.1098,0.0,158.53121693,842.44541705,136.875
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,"91) Libraries, archives, museums and other cultural activities",33.2501,26.3334,24.25,15.5,15.5,15.4167,7.4167,9.1667,2.5,4.91666667,14.16666667,5.0
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,92) Gambling and betting activities,339.6745,38.0814,174.4798,143.9822,39.007,132.9581,14.0,177.3782,9.087,44.88,239.81569138,0.0
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,93) Sports activities and amusement and recreation activities,7945.3932,4543.5694,4886.3708,2466.5547,1403.9179,2895.1509,1064.7296,2533.3545,0.0,930.92954292,4177.10818006,451.24444445
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,95) Repair of computers and personal and household goods,13319.6186,8292.8536,9874.3207,5224.0285,4474.6271,5526.4746,1129.0525,6086.9196,915.0039,1192.27664885,7780.9294207,432.77575757
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,96) Other personal service activities,63131.6767,29509.3876,40668.024,22154.5464,13000.9865,16669.9825,3467.6818,24256.4838,2694.7056,5990.55306935,37975.05840479,2464.37782806
2021,1) Municipal Area,01) Business Trade and Services,01) 1 - 10 persons,Total,708740.9331,419426.0656,487962.6127,271623.159,218021.0967,295371.0885,38444.9136,262029.0785,44627.4756,101278.34663647,350529.94204149,65377.88918584
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,45) Wholesale and retail trade and repair of motor vehicles and motorcycles,1924.4744,1537.3857,1735.7524,1185.9833,1181.7366,1007.9538,155.314,663.5906,269.5176,317.35418846,861.90542127,272.89615174
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,"46) Wholesale trade, except of motor vehicles and motorcycles",3299.3344,2938.3678,2804.0061,1814.0707,1942.4523,1662.306,122.5777,1437.0051,183.5405,697.75588149,1605.75015867,707.23578945
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,"47) Retail trade, except of motor vehicles and motorcycles",7966.0403,6233.8595,6103.8404,3441.2319,3168.8172,4599.3076,824.9159,3306.508,1133.5521,1667.58389045,3819.32194181,1232.73567547
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,55) Accommodation,916.3838,864.5574,744.7388,604.2175,482.6272,485.4804,64.3343,447.8651,97.0486,133.5614271,415.82361034,261.75717387
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,56) Food and beverage service activities,4039.4072,2343.2416,2632.7495,1200.7491,1417.265,2483.5928,76.7309,1692.6578,219.7699,414.51465202,1911.70223498,536.06365132
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,68) Real estate activities,929.4696,796.0478,878.6278,423.6009,497.789,361.3786,7.04,361.6622,16.75,331.48045454,564.28954544,157.41045454
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,69) Legal and accounting activities,211.4283,177.7854,140.4569,174.0997,161.457,65.0729,2.5873,78.8635,11.0698,27.05396823,64.58253964,36.29206348
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,70) Activities of head offices; management consultancy activities,85.5,76.8333,50.8333,33.5,42.1667,47.8333,10.6667,22.3333,29.0,30.00000001,30.00000001,21.33333334
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,71) Architectural and engineering activities; technical testing and analysis,128.2,126.2,117.7455,74.5273,97.8909,30.3636,10.4545,60.6727,11.6545,13.85454545,59.7272727,42.2181818
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,72) Scientific research and development,4.5,3.5,3.5,1.5,3.5,3.0,0.0,1.0,0.0,0.0,1.0,3.5
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,73) Advertising and market research,149.7143,139.4416,127.026,93.7305,85.4578,77.2793,6.75,57.2695,3.0,0.0,67.89935063,17.02272727
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,"74) Other professional, scientific and technical activities",138.6,98.85,112.1,67.35,88.5167,32.5167,3.0,56.4833,3.0,42.76666667,39.36666667,41.56666667
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,77) Rental and leasing activities,74.7619,63.0952,72.5119,53.131,38.4405,22.5,0.0,49.6905,4.5,24.10714286,23.33333334,4.5
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,78) Employment activities,55.0,41.8,41.8,55.0,43.0,12.1333,0.0,19.5333,10.6,17.4,18.2,30.93333334
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,"79) Travel agency, tour operator, reservation service and related activities",185.0,161.0,126.6,93.4,110.0,111.0,2.4,50.8,3.8,50.4,80.0,49.4
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,80) Security and investigation activities,58.9167,55.0834,53.75,34.8333,22.5834,20.1667,3.8333,10.5,3.6667,12.50000001,26.41666667,11.16666667
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,81) Services to buildings and landscape activities,61.5772,54.1591,50.4772,35.2864,37.2614,8.4182,0.0,35.3318,6.4977,15.18863635,17.73636362,12.29090908
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,"82) Office administrative, office support and other business support activities",137.0856,91.5301,126.9428,90.6761,63.8666,57.1809,17.6031,63.441,16.6,55.40952381,66.44126985,23.63174603
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,"90) Creative, arts and entertainment activities",53.966,33.9708,39.0874,1.6667,1.6667,22.281,0.0,31.6851,0.0,16.92307692,17.61428572,0.0
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,"91) Libraries, archives, museums and other cultural activities",10.0,8.0,8.0,8.0,4.0,3.0,0.0,5.0,5.0,3.0,6.0,0.0
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,93) Sports activities and amusement and recreation activities,59.0,41.75,49.75,42.25,36.5,22.75,5.5,16.75,10.25,27.0,29.0,13.0
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,95) Repair of computers and personal and household goods,36.0,34.0,34.25,21.15,20.1,17.35,2.8,15.85,1.75,7.75,14.8,9.1
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,96) Other personal service activities,525.8001,431.2473,440.289,282.325,174.0389,102.5528,8.0,227.1167,11.375,8.0,223.78888889,8.0
2021,1) Municipal Area,01) Business Trade and Services,02) 11 - 15 persons,Total,21050.1598,16351.706,16494.835,9832.2794,9721.1339,11255.4179,1324.5077,8711.6095,2051.9424,3913.60405437,9964.69955025,3492.05452407
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,45) Wholesale and retail trade and repair of motor vehicles and motorcycles,1381.1913,1158.7584,1117.834,805.8048,816.2436,822.2474,156.9605,748.1682,303.8935,428.12635052,682.3982873,463.13504617
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,"46) Wholesale trade, except of motor vehicles and motorcycles",2795.5335,2461.6493,2386.9916,1708.8575,1472.7176,1416.6109,136.9273,1350.8018,289.1055,869.57818176,1350.85515143,706.54606055
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,"47) Retail trade, except of motor vehicles and motorcycles",3184.074,2720.3331,2669.4659,1968.8919,1807.338,1786.739,476.5254,1387.8456,388.6972,962.27232562,1533.67342352,755.52915501
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,55) Accommodation,841.3289,753.4367,666.5616,519.579,434.6728,470.5496,27.695,355.3166,60.1571,213.11805335,368.63896905,181.18269433
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,56) Food and beverage service activities,2856.3643,1696.1007,2293.1015,1216.4705,913.0193,1541.1075,114.2497,865.8227,122.7886,196.69222891,972.35618861,331.4952155
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,68) Real estate activities,667.9135,586.1556,561.5656,436.737,460.153,285.1053,47.6608,295.6713,30.2054,196.18099169,269.02876799,200.02036464
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,69) Legal and accounting activities,109.0,103.0,62.55,86.55,63.75,32.45,5.125,33.1,10.375,23.5,42.275,25.65
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,70) Activities of head offices; management consultancy activities,81.0,59.0,48.0,63.5,71.5,34.0,5.5,34.0,14.0,28.5,39.5,37.0
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,71) Architectural and engineering activities; technical testing and analysis,117.3334,112.3334,94.6667,91.7778,80.8056,64.3611,22.7222,55.5834,22.1667,48.08333333,49.58333333,55.08333333
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,72) Scientific research and development,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,73) Advertising and market research,123.0,99.4889,111.2445,93.7889,81.0334,43.4667,7.9,25.8556,5.0,44.16666668,71.4777778,62.6777778
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,"74) Other professional, scientific and technical activities",125.8,125.8,102.4923,61.0461,81.7538,47.0462,13.3692,30.5077,7.2,42.87692308,49.64615385,36.67692308
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,77) Rental and leasing activities,77.2977,62.4881,63.131,51.4048,71.4881,27.5952,8.6666,37.8453,6.6191,6.11904761,38.01190473,20.90476188
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,78) Employment activities,59.9999,58.4999,55.6666,38.3332,37.6667,15.9999,4.3333,26.6666,15.6666,22.33333331,30.49999997,21.99999998
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,"79) Travel agency, tour operator, reservation service and related activities",164.125,126.4107,153.1667,107.4404,89.1607,112.4524,25.0,69.4464,19.3333,1.33333333,69.44642856,38.76785713
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,80) Security and investigation activities,103.2382,80.9049,83.2383,42.5238,36.2381,27.1904,2.0,27.4762,20.5714,25.47619048,44.61904763,28.38095238
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,81) Services to buildings and landscape activities,71.9999,68.4999,58.8928,38.2928,42.7738,32.7214,1.8,21.1095,3.5833,21.08333333,32.11190478,19.66904762
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,"82) Office administrative, office support and other business support activities",82.3666,82.3666,77.5666,28.75,43.6166,49.4167,15.4167,28.6833,15.4167,30.28333334,46.21666668,19.68333334
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,"90) Creative, arts and entertainment activities",51.16,21.4846,30.4132,21.4846,25.9846,28.8083,3.6,16.9187,8.9231,8.89010989,29.63686314,0.0
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,"91) Libraries, archives, museums and other cultural activities",11.5,11.5,8.5,9.5,5.0,5.0,0.0,4.0,4.0,4.0,9.0,3.0
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,92) Gambling and betting activities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,93) Sports activities and amusement and recreation activities,61.75,33.75,50.7167,29.5,23.5667,33.6834,0.0,16.6666,1.5,16.9,23.18333334,5.4
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,95) Repair of computers and personal and household goods,20.6666,18.6666,20.6666,18.0,17.3333,17.1666,14.5,3.0,2.8333,1.33333333,2.66666666,0.0
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,96) Other personal service activities,293.6668,199.9644,172.1489,110.1548,128.5953,127.5536,0.0,108.2441,0.0,33.375,167.85119048,60.03571428
2021,1) Municipal Area,01) Business Trade and Services,03) 16 - 25 persons,Total,13281.3096,10641.5918,10889.5811,7549.3879,6805.411,7021.2716,1089.9517,5542.7296,1352.0358,3224.22206956,5922.67705885,3073.83823702
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,45) Wholesale and retail trade and repair of motor vehicles and motorcycles,312.8529,288.6221,284.7719,210.7312,254.5238,183.7311,35.9381,162.7032,47.981,111.20512826,161.39316248,118.95512826
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,"46) Wholesale trade, except of motor vehicles and motorcycles",698.3668,670.9207,675.5658,478.61,348.8095,348.586,103.462,347.2844,81.6441,182.27580824,266.1850613,200.08818281
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,"47) Retail trade, except of motor vehicles and motorcycles",460.0969,396.5394,339.0349,267.9961,257.8304,263.6304,107.4924,248.0842,116.3673,202.49696967,275.24772724,134.53030301
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,55) Accommodation,245.1453,238.4181,225.3272,199.184,151.1112,154.8499,85.3409,141.3613,60.3636,103.69545452,120.57045452,89.58181816
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,56) Food and beverage service activities,458.4444,312.9445,391.0554,124.4722,128.0555,180.4445,22.25,147.6389,72.8889,76.63888889,201.41666666,30.66666666
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,68) Real estate activities,121.4287,110.2364,108.2858,79.2666,67.2391,43.3544,1.0,40.805,8.6923,30.86263735,27.72802197,27.96978021
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,69) Legal and accounting activities,32.0,28.5714,19.7143,18.2857,15.2857,8.8571,4.4286,7.4286,9.8571,9.42857143,11.85714286,10.85714286
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,70) Activities of head offices; management consultancy activities,12.0,6.0,6.0,6.0,6.0,12.0,0.0,6.0,0.0,0.0,0.0,12.0
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,71) Architectural and engineering activities; technical testing and analysis,35.0,35.0,32.5,30.0,24.0,14.5,1.0,13.0,6.0,24.5,21.5,27.0
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,72) Scientific research and development,3.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,73) Advertising and market research,11.0,11.0,11.0,11.0,6.0,5.0,5.0,6.0,5.0,5.0,11.0,6.0
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,"74) Other professional, scientific and technical activities",18.6667,15.1667,10.6667,5.5,17.3333,6.8333,7.0,8.0,3.5,11.5,8.16666666,5.83333333
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,77) Rental and leasing activities,13.0,13.0,9.0,10.5,8.5,4.5,1.5,6.0,0.0,1.5,4.5,3.0
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,78) Employment activities,17.0,14.4,14.0,13.4,11.4,6.8,1.6,5.2,3.2,1.6,5.6,5.8
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,"79) Travel agency, tour operator, reservation service and related activities",35.0,28.6667,35.0,28.6667,35.0,28.6667,21.3333,27.6667,21.3333,27.66666666,21.33333333,21.33333333
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,80) Security and investigation activities,33.0,32.0,24.8571,23.8571,23.2857,6.5714,2.5714,8.5,7.5714,7.57142857,11.0,15.21428571
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,81) Services to buildings and landscape activities,16.6666,15.5,14.8666,12.5333,8.9333,4.7667,1.1667,2.9667,1.1667,3.6,3.96666667,3.6
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,"82) Office administrative, office support and other business support activities",27.8572,18.3572,26.8572,15.6429,16.6429,22.4286,3.4286,5.1429,13.9286,15.64285713,15.64285713,3.42857142
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,"90) Creative, arts and entertainment activities",25.8682,8.4583,23.9591,7.3333,2.0,18.5682,2.0,15.5917,2.0,2.0,15.59166666,5.5
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,"91) Libraries, archives, museums and other cultural activities",1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,93) Sports activities and amusement and recreation activities,11.0,4.3333,8.6667,6.6667,1.3333,2.3333,0.0,3.0,0.0,0.0,1.0,0.0
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,95) Repair of computers and personal and household goods,11.0,8.0,11.0,8.0,5.0,1.0,1.0,2.0,1.0,1.0,7.0,8.0
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,96) Other personal service activities,37.5,33.7,29.9,26.1,22.3,3.8,3.8,16.6,3.8,12.8,15.2,9.0
2021,1) Municipal Area,01) Business Trade and Services,04) 26 - 30 persons,Total,2636.8937,2292.8348,2306.0287,1586.7458,1413.5837,1322.2216,411.312,1222.9736,467.2943,831.98441072,1207.89942748,738.35854576
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,45) Wholesale and retail trade and repair of motor vehicles and motorcycles,688.2631,671.4774,587.8724,456.7785,518.1871,434.6043,124.3453,368.6258,173.1606,284.10654813,388.50079504,266.81292821
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,"46) Wholesale trade, except of motor vehicles and motorcycles",1450.79,1279.6723,1265.2634,852.9868,1098.8568,843.9677,149.4559,670.0005,165.2754,311.88939912,603.63020512,536.67694042
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,"47) Retail trade, except of motor vehicles and motorcycles",958.8016,816.5038,852.4291,591.8941,594.2601,599.0216,88.1329,509.245,164.8559,392.50873531,420.59190114,332.02682974
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,55) Accommodation,550.2517,512.3517,490.8406,374.8699,427.713,373.166,86.9457,321.6952,77.4486,165.74009662,306.92294685,207.82753625
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,56) Food and beverage service activities,839.7834,629.9584,592.7834,285.975,281.725,491.4834,71.2333,246.7,71.2333,93.775,339.71666669,157.15000001
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,68) Real estate activities,217.8331,173.9695,154.0029,143.3484,139.8363,70.2848,4.0,58.3636,4.0,45.87575756,67.06363634,30.9090909
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,69) Legal and accounting activities,42.0,34.8,27.6,26.6,32.8,14.3,1.5,18.4,7.6,16.9,22.0,20.5
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,70) Activities of head offices; management consultancy activities,30.0,20.0,20.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,20.0,0.0
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,71) Architectural and engineering activities; technical testing and analysis,61.0,61.0,45.4545,50.6364,42.4545,16.5455,5.1818,12.3636,11.3636,26.9090909,17.54545454,33.09090908
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,72) Scientific research and development,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,73) Advertising and market research,63.5,62.5,63.5,42.3333,43.8333,38.6111,8.2222,42.8333,2.0,14.44444444,25.16666666,23.16666666
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,"74) Other professional, scientific and technical activities",53.6667,49.5667,51.6667,40.3667,34.6,15.8667,9.2,6.7667,4.1,13.3,15.96666667,21.4
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,77) Rental and leasing activities,37.0,32.25,33.75,25.0,22.375,11.75,2.0,6.125,3.375,8.5,19.25,15.5
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,78) Employment activities,27.9546,27.9546,26.9546,12.4546,17.2956,5.8864,0.0,4.2728,1.6364,1.63636364,4.27272728,3.25
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,"79) Travel agency, tour operator, reservation service and related activities",42.0,34.0,28.5,20.5,28.5,28.5,10.0,20.5,1.0,2.0,19.0,20.5
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,80) Security and investigation activities,86.8299,76.0584,60.1096,64.3442,49.6132,24.3524,8.2429,28.3882,3.8857,19.89642855,40.17380949,22.31785713
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,81) Services to buildings and landscape activities,35.0001,31.2223,24.9445,26.7223,24.9445,15.8612,0.0,10.3056,6.2778,7.27777778,10.94444445,11.41666667
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,"82) Office administrative, office support and other business support activities",31.0,29.1111,23.3333,15.7778,15.6667,14.5556,3.8889,16.5556,2.0,8.66666667,12.77777778,9.88888889
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,"90) Creative, arts and entertainment activities",13.6362,7.0681,4.8181,4.8181,4.8181,8.1817,4.8181,6.5681,4.8181,4.81818181,10.27272726,3.36363636
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,"91) Libraries, archives, museums and other cultural activities",2.3333,2.3333,2.3333,2.3333,2.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,92) Gambling and betting activities,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,93) Sports activities and amusement and recreation activities,34.4286,27.0953,31.0953,20.7619,19.7619,15.7619,2.0,12.6667,8.6667,12.66666666,9.0,0.0
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,95) Repair of computers and personal and household goods,11.0,11.0,9.0,7.4,7.4,9.2,0.0,7.4,0.0,5.4,9.2,3.8
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,96) Other personal service activities,60.8334,59.1667,52.8334,51.1667,49.5,43.1667,0.0,7.1667,0.0,1.66666667,8.83333334,8.83333334
2021,1) Municipal Area,01) Business Trade and Services,05) 31 - 50 persons,Total,5341.9057,4653.0596,4453.0851,3131.068,3457.4744,3085.067,579.167,2384.9424,722.6971,1447.97782386,2370.82975865,1728.43128366
2021,1) Municipal Area,01) Business Trade and Services,06) 51 -  200 persons,45) Wholesale and retail trade and repair of motor vehicles and motorcycles,621.8477,575.2703,545.5575,398.7014,457.727,371.0027,55.2503,360.8929,237.1767,296.18305026,349.44019312,255.3978771
